observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,,
fbe12,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,34908.52,4002,4000.82,4017.48,38926,38932,2023-10-04T20:57:56Z,38932.56,180,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed%202/index.html?vp=180&sess=4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,595,1280,595,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,,
fbe12,Deep Question,html.Page,1_0_0_0,ugeshi,NA,form submission,12254.44,38933,38932.34,38932.56,51187,51187,2023-10-04T20:58:09Z,51194.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,NA,,
fbe12,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.92,51194,51184.72,51194.3,51677.56,51679,2023-10-04T20:58:09Z,51694.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,0,,
fbe12,deep,flow.Sequence,1_0_0,NA,NA,completion,12745,38933,38932.34,38932.56,51677.56,51679,2023-10-04T20:58:09Z,51694.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,NA,,
fbe12,task,flow.Sequence,1_0,NA,NA,completion,12745,38933,38932.34,38932.56,51677.56,51680,2023-10-04T20:58:09Z,51694.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,NA,,
fbe12,Deep Question,html.Page,1_1_0_0,mgeshko,NA,form submission,18615.78,51681,51677.56,51694.22,70310,70310,2023-10-04T20:58:28Z,70309.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ausschluss,kutengwa,s,ununuzi,taratibu,madeni,NA,NA,,
fbe12,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,498.98000000001,70312,70309.16,70309.26,70791.58,70792,2023-10-04T20:58:28Z,70808.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ausschluss,kutengwa,s,ununuzi,taratibu,madeni,NA,0,,
fbe12,deep,flow.Sequence,1_1_0,NA,NA,completion,19097.36,51680,51677.56,51694.22,70791.58,70793,2023-10-04T20:58:28Z,70808.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ausschluss,kutengwa,s,ununuzi,taratibu,madeni,NA,NA,,
fbe12,task,flow.Sequence,1_1,NA,NA,completion,19097.36,51680,51677.56,51694.22,70791.58,70793,2023-10-04T20:58:28Z,70808.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ausschluss,kutengwa,s,ununuzi,taratibu,madeni,NA,NA,,
fbe12,Deep Question,html.Page,1_2_0_0,mgangnevo,NA,form submission,38983.76,70795,70791.58,70808.24,109792,109794,2023-10-04T20:59:07Z,109802.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,,
