Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Forschung Fernuni,WALKING,08-02-2023,17:42:41,00:59:50,0.05,129,0.0,2.6,00:00,22:53,358,20,,,,,,,,,,175.0,65.0,,,56,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,87,,,,,,,,,
,00:00:01,91,,,,,,,,,
,00:00:02,95,,,,,,,,,
,00:00:03,98,,,,,,,,,
,00:00:04,99,,,,,,,,,
,00:00:05,101,,,,,,,,,
,00:00:06,102,,,,,,,,,
,00:00:07,102,,,,,,,,,
,00:00:08,101,,,,,,,,,
,00:00:09,96,,,,,,,,,
,00:00:10,88,,,,,,,,,
,00:00:11,87,,,,,,,,,
,00:00:12,86,,,,,,,,,
,00:00:13,85,,,,,,,,,
,00:00:14,79,,,,,,,,,
,00:00:15,78,,,,,,,,,
,00:00:16,77,,,,,,,,,
,00:00:17,76,,,,,,,,,
,00:00:18,74,,,,,,,,,
,00:00:19,73,,,,,,,,,
,00:00:20,73,,,,,,,,,
,00:00:21,72,,,,,,,,,
,00:00:22,72,,,,,,,,,
,00:00:23,71,,,,,,,,,
,00:00:24,72,,,,,,,,,
,00:00:25,73,,,,,,,,,
,00:00:26,74,,,,,,,,,
,00:00:27,75,,,,,,,,,
,00:00:28,75,,,,,,,,,
,00:00:29,74,,,,,,,,,
,00:00:30,72,,,,,,,,,
,00:00:31,71,,,,,,,,,
,00:00:32,71,,,,,,,,,
,00:00:33,71,,,,,,,,,
,00:00:34,71,,,,,,,,,
,00:00:35,72,,,,,,,,,
,00:00:36,73,,,,,,,,,
,00:00:37,74,,,,,,,,,
,00:00:38,75,,,,,,,,,
,00:00:39,75,,,,,,,,,
,00:00:40,75,,,,,,,,,
,00:00:41,74,,,,,,,,,
,00:00:42,73,,,,,,,,,
,00:00:43,71,,,,,,,,,
,00:00:44,70,,,,,,,,,
,00:00:45,70,,,,,,,,,
,00:00:46,70,,,,,,,,,
,00:00:47,69,,,,,,,,,
,00:00:48,69,,,,,,,,,
,00:00:49,70,,,,,,,,,
,00:00:50,71,,,,,,,,,
,00:00:51,71,,,,,,,,,
,00:00:52,72,,,,,,,,,
,00:00:53,73,,,,,,,,,
,00:00:54,71,,,,,,,,,
,00:00:55,70,,,,,,,,,
,00:00:56,70,,,,,,,,,
,00:00:57,70,,,,,,,,,
,00:00:58,70,,,,,,,,,
,00:00:59,70,,,,,,,,,
,00:01:00,69,,,,,,,,,
,00:01:01,69,,,,,,,,,
,00:01:02,69,,,,,,,,,
,00:01:03,69,,,,,,,,,
,00:01:04,68,,,,,,,,,
,00:01:05,69,,,,,,,,,
,00:01:06,68,,,,,,,,,
,00:01:07,68,,,,,,,,,
,00:01:08,68,,,,,,,,,
,00:01:09,68,,,,,,,,,
,00:01:10,67,,,,,,,,,
,00:01:11,66,,,,,,,,,
,00:01:12,66,,,,,,,,,
,00:01:13,67,,,,,,,,,
,00:01:14,67,,,,,,,,,
,00:01:15,67,,,,,,,,,
,00:01:16,67,,,,,,,,,
,00:01:17,68,,,,,,,,,
,00:01:18,68,,,,,,,,,
,00:01:19,68,,,,,,,,,
,00:01:20,68,,,,,,,,,
,00:01:21,68,,,,,,,,,
,00:01:22,68,,,,,,,,,
,00:01:23,69,,,,,,,,,
,00:01:24,69,,,,,,,,,
,00:01:25,69,,,,,,,,,
,00:01:26,69,,,,,,,,,
,00:01:27,69,,,,,,,,,
,00:01:28,70,,,,,,,,,
,00:01:29,71,,,,,,,,,
,00:01:30,72,,,,,,,,,
,00:01:31,72,,,,,,,,,
,00:01:32,72,,,,,,,,,
,00:01:33,72,,,,,,,,,
,00:01:34,72,,,,,,,,,
,00:01:35,73,,,,,,,,,
,00:01:36,73,,,,,,,,,
,00:01:37,72,,,,,,,,,
,00:01:38,72,,,,,,,,,
,00:01:39,72,,,,,,,,,
,00:01:40,72,,,,,,,,,
,00:01:41,72,,,,,,,,,
,00:01:42,73,,,,,,,,,
,00:01:43,74,,,,,,,,,
,00:01:44,76,,,,,,,,,
,00:01:45,76,,,,,,,,,
,00:01:46,77,,,,,,,,,
,00:01:47,78,,,,,,,,,
,00:01:48,79,,,,,,,,,
,00:01:49,81,,,,,,,,,
,00:01:50,83,,,,,,,,,
,00:01:51,83,,,,,,,,,
,00:01:52,90,,,,,,,,,
,00:01:53,92,,,,,,,,,
,00:01:54,96,,,,,,,,,
,00:01:55,100,,,,,,,,,
,00:01:56,104,,,,,,,,,
,00:01:57,104,,,,,,,,,
,00:01:58,111,,,,,,,,,
,00:01:59,113,,,,,,,,,
,00:02:00,115,,,,,,,,,
,00:02:01,115,,,,,,,,,
,00:02:02,115,,,,,,,,,
,00:02:03,114,,,,,,,,,
,00:02:04,114,,,,,,,,,
,00:02:05,103,,,,,,,,,
,00:02:06,89,,,,,,,,,
,00:02:07,81,,,,,,,,,
,00:02:08,79,,,,,,,,,
,00:02:09,74,,,,,,,,,
,00:02:10,74,,,,,,,,,
,00:02:11,73,,,,,,,,,
,00:02:12,69,,,,,,,,,
,00:02:13,67,,,,,,,,,
,00:02:14,66,,,,,,,,,
,00:02:15,65,,,,,,,,,
,00:02:16,66,,,,,,,,,
,00:02:17,67,,,,,,,,,
,00:02:18,66,,,,,,,,,
,00:02:19,67,,,,,,,,,
,00:02:20,69,,,,,,,,,
,00:02:21,75,,,,,,,,,
,00:02:22,76,,,,,,,,,
,00:02:23,78,,,,,,,,,
,00:02:24,81,,,,,,,,,
,00:02:25,83,,,,,,,,,
,00:02:26,89,,,,,,,,,
,00:02:27,94,,,,,,,,,
,00:02:28,96,,,,,,,,,
,00:02:29,96,,,,,,,,,
,00:02:30,95,,,,,,,,,
,00:02:31,89,,,,,,,,,
,00:02:32,85,,,,,,,,,
,00:02:33,85,,,,,,,,,
,00:02:34,82,,,,,,,,,
,00:02:35,82,,,,,,,,,
,00:02:36,83,,,,,,,,,
,00:02:37,83,,,,,,,,,
,00:02:38,84,,,,,,,,,
,00:02:39,84,,,,,,,,,
,00:02:40,85,0.0,00:00,,,,0.00,,,
,00:02:41,86,0.0,00:00,,,,0.00,,,
,00:02:42,85,0.9,66:13,,,,0.73,,,
,00:02:43,85,0.9,66:13,,,,1.09,,,
,00:02:44,84,0.9,66:13,,,,1.09,,,
,00:02:45,83,0.9,66:13,,,,1.09,,,
,00:02:46,82,0.9,66:13,,,,1.09,,,
,00:02:47,78,0.9,66:13,,,,1.09,,,
,00:02:48,73,0.9,66:13,,,,1.09,,,
,00:02:49,72,0.9,66:13,,,,1.09,,,
,00:02:50,72,0.9,66:13,,,,1.09,,,
,00:02:51,71,1.1,53:52,,,,1.81,,,
,00:02:52,71,1.1,53:52,,,,2.54,,,
,00:02:53,70,1.1,53:52,,,,3.27,,,
,00:02:54,70,1.1,53:52,,,,4.00,,,
,00:02:55,69,1.1,53:52,,,,4.73,,,
,00:02:56,68,1.1,53:52,,,,5.45,,,
,00:02:57,68,1.1,53:52,,,,6.18,,,
,00:02:58,68,1.1,53:52,,,,6.75,,,
,00:02:59,68,1.1,53:52,,,,6.75,,,
,00:03:00,69,0.0,00:00,,,,6.75,,,
