Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Forschung Fernuni,WALKING,18-03-2023,11:08:21,01:05:29,0.20,65,0.2,3.4,328:36,17:45,97,80,,,,,,,,,,175.0,65.0,,,56,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,74,,,,,,,,,
,00:00:01,72,,,,,,,,,
,00:00:02,72,,,,,,,,,
,00:00:03,72,,,,,,,,,
,00:00:04,71,,,,,,,,,
,00:00:05,70,,,,,,,,,
,00:00:06,70,,,,,,,,,
,00:00:07,69,,,,,,,,,
,00:00:08,67,,,,,,,,,
,00:00:09,66,,,,,,,,,
,00:00:10,66,,,,,,,,,
,00:00:11,65,,,,,,,,,
,00:00:12,65,,,,,,,,,
,00:00:13,66,,,,,,,,,
,00:00:14,66,,,,,,,,,
,00:00:15,66,,,,,,,,,
,00:00:16,66,,,,,,,,,
,00:00:17,66,,,,,,,,,
,00:00:18,66,,,,,,,,,
,00:00:19,66,,,,,,,,,
,00:00:20,65,,,,,,,,,
,00:00:21,65,,,,,,,,,
,00:00:22,67,,,,,,,,,
,00:00:23,68,,,,,,,,,
,00:00:24,70,,,,,,,,,
,00:00:25,71,,,,,,,,,
,00:00:26,71,,,,,,,,,
,00:00:27,70,,,,,,,,,
,00:00:28,69,,,,,,,,,
,00:00:29,68,,,,,,,,,
,00:00:30,68,,,,,,,,,
,00:00:31,68,,,,,,,,,
,00:00:32,68,,,,,,,,,
,00:00:33,66,,,,,,,,,
,00:00:34,66,,,,,,,,,
,00:00:35,65,,,,,,,,,
,00:00:36,64,,,,,,,,,
,00:00:37,64,,,,,,,,,
,00:00:38,63,,,,,,,,,
,00:00:39,63,,,,,,,,,
,00:00:40,64,,,,,,,,,
,00:00:41,65,,,,,,,,,
,00:00:42,67,,,,,,,,,
,00:00:43,67,,,,,,,,,
,00:00:44,67,,,,,,,,,
,00:00:45,66,,,,,,,,,
,00:00:46,65,,,,,,,,,
,00:00:47,65,,,,,,,,,
,00:00:48,66,,,,,,,,,
,00:00:49,66,,,,,,,,,
,00:00:50,66,,,,,,,,,
,00:00:51,66,,,,,,,,,
,00:00:52,65,,,,,,,,,
,00:00:53,66,,,,,,,,,
,00:00:54,66,,,,,,,,,
,00:00:55,66,,,,,,,,,
,00:00:56,65,,,,,,,,,
,00:00:57,64,,,,,,,,,
,00:00:58,65,,,,,,,,,
,00:00:59,66,,,,,,,,,
,00:01:00,66,,,,,,,,,
,00:01:01,66,,,,,,,,,
,00:01:02,65,,,,,,,,,
,00:01:03,65,,,,,,,,,
,00:01:04,67,,,,,,,,,
,00:01:05,68,,,,,,,,,
,00:01:06,69,,,,,,,,,
,00:01:07,69,,,,,,,,,
,00:01:08,69,,,,,,,,,
,00:01:09,68,,,,,,,,,
,00:01:10,68,,,,,,,,,
,00:01:11,68,,,,,,,,,
,00:01:12,68,,,,,,,,,
,00:01:13,67,,,,,,,,,
,00:01:14,67,,,,,,,,,
,00:01:15,68,,,,,,,,,
,00:01:16,69,,,,,,,,,
,00:01:17,69,,,,,,,,,
,00:01:18,69,,,,,,,,,
,00:01:19,68,,,,,,,,,
,00:01:20,69,,,,,,,,,
,00:01:21,69,,,,,,,,,
,00:01:22,68,,,,,,,,,
,00:01:23,68,,,,,,,,,
,00:01:24,68,,,,,,,,,
,00:01:25,68,,,,,,,,,
,00:01:26,67,,,,,,,,,
,00:01:27,68,,,,,,,,,
,00:01:28,69,,,,,,,,,
,00:01:29,68,,,,,,,,,
,00:01:30,67,,,,,,,,,
,00:01:31,67,,,,,,,,,
,00:01:32,66,,,,,,,,,
,00:01:33,66,,,,,,,,,
,00:01:34,66,,,,,,,,,
,00:01:35,66,,,,,,,,,
,00:01:36,66,,,,,,,,,
,00:01:37,65,,,,,,,,,
,00:01:38,66,,,,,,,,,
,00:01:39,67,,,,,,,,,
,00:01:40,70,,,,,,,,,
,00:01:41,70,,,,,,,,,
,00:01:42,73,,,,,,,,,
,00:01:43,74,,,,,,,,,
,00:01:44,75,,,,,,,,,
,00:01:45,76,,,,,,,,,
,00:01:46,76,,,,,,,,,
,00:01:47,74,,,,,,,,,
,00:01:48,74,,,,,,,,,
,00:01:49,76,,,,,,,,,
,00:01:50,77,,,,,,,,,
,00:01:51,78,,,,,,,,,
,00:01:52,79,,,,,,,,,
,00:01:53,78,,,,,,,,,
,00:01:54,77,,,,,,,,,
,00:01:55,76,,,,,,,,,
,00:01:56,73,,,,,,,,,
,00:01:57,73,,,,,,,,,
,00:01:58,73,,,,,,,,,
,00:01:59,74,,,,,,,,,
,00:02:00,75,,,,,,,,,
,00:02:01,76,,,,,,,,,
,00:02:02,76,,,,,,,,,
,00:02:03,76,,,,,,,,,
,00:02:04,76,,,,,,,,,
,00:02:05,75,,,,,,,,,
,00:02:06,75,,,,,,,,,
,00:02:07,75,,,,,,,,,
,00:02:08,75,,,,,,,,,
,00:02:09,75,,,,,,,,,
,00:02:10,75,,,,,,,,,
,00:02:11,76,,,,,,,,,
,00:02:12,76,,,,,,,,,
,00:02:13,75,,,,,,,,,
,00:02:14,74,,,,,,,,,
,00:02:15,73,,,,,,,,,
,00:02:16,72,,,,,,,,,
,00:02:17,72,,,,,,,,,
,00:02:18,74,,,,,,,,,
,00:02:19,75,,,,,,,,,
,00:02:20,76,,,,,,,,,
,00:02:21,75,,,,,,,,,
,00:02:22,75,,,,,,,,,
,00:02:23,73,,,,,,,,,
,00:02:24,72,,,,,,,,,
,00:02:25,72,,,,,,,,,
,00:02:26,72,,,,,,,,,
,00:02:27,71,,,,,,,,,
,00:02:28,71,,,,,,,,,
,00:02:29,72,,,,,,,,,
,00:02:30,73,,,,,,,,,
,00:02:31,73,,,,,,,,,
,00:02:32,73,,,,,,,,,
,00:02:33,71,,,,,,,,,
,00:02:34,71,,,,,,,,,
,00:02:35,71,,,,,,,,,
,00:02:36,72,,,,,,,,,
,00:02:37,72,,,,,,,,,
,00:02:38,73,,,,,,,,,
,00:02:39,73,,,,,,,,,
,00:02:40,73,,,,,,,,,
,00:02:41,72,,,,,,,,,
,00:02:42,72,,,,,,,,,
,00:02:43,71,,,,,,,,,
,00:02:44,71,,,,,,,,,
,00:02:45,70,,,,,,,,,
,00:02:46,70,,,,,,,,,
,00:02:47,70,,,,,,,,,
,00:02:48,69,,,,,,,,,
,00:02:49,69,,,,,,,,,
,00:02:50,69,,,,,,,,,
,00:02:51,69,,,,,,,,,
,00:02:52,69,,,,,,,,,
,00:02:53,69,,,,,,,,,
,00:02:54,69,,,,,,,,,
,00:02:55,69,,,,,,,,,
,00:02:56,69,,,,,,,,,
,00:02:57,73,,,,,,,,,
,00:02:58,73,,,,,,,,,
,00:02:59,73,,,,,,,,,
,00:03:00,74,,,,,,,,,
,00:03:01,74,,,,,,,,,
,00:03:02,74,,,,,,,,,
,00:03:03,72,,,,,,,,,
,00:03:04,71,,,,,,,,,
,00:03:05,71,,,,,,,,,
,00:03:06,70,,,,,,,,,
,00:03:07,69,,,,,,,,,
,00:03:08,69,,,,,,,,,
,00:03:09,68,,,,,,,,,
,00:03:10,67,,,,,,,,,
,00:03:11,66,,,,,,,,,
,00:03:12,65,,,,,,,,,
,00:03:13,65,,,,,,,,,
,00:03:14,65,,,,,,,,,
,00:03:15,65,,,,,,,,,
,00:03:16,65,,,,,,,,,
,00:03:17,64,,,,,,,,,
,00:03:18,63,,,,,,,,,
,00:03:19,63,,,,,,,,,
,00:03:20,63,,,,,,,,,
,00:03:21,63,,,,,,,,,
,00:03:22,63,,,,,,,,,
,00:03:23,63,,,,,,,,,
,00:03:24,63,,,,,,,,,
,00:03:25,63,,,,,,,,,
,00:03:26,64,,,,,,,,,
,00:03:27,64,,,,,,,,,
,00:03:28,66,,,,,,,,,
,00:03:29,67,,,,,,,,,
,00:03:30,68,,,,,,,,,
,00:03:31,68,,,,,,,,,
,00:03:32,68,,,,,,,,,
,00:03:33,67,,,,,,,,,
,00:03:34,67,,,,,,,,,
,00:03:35,67,,,,,,,,,
,00:03:36,66,,,,,,,,,
,00:03:37,65,,,,,,,,,
,00:03:38,65,,,,,,,,,
,00:03:39,66,,,,,,,,,
,00:03:40,66,,,,,,,,,
,00:03:41,67,,,,,,,,,
,00:03:42,68,,,,,,,,,
,00:03:43,69,,,,,,,,,
,00:03:44,69,,,,,,,,,
,00:03:45,70,,,,,,,,,
,00:03:46,69,,,,,,,,,
,00:03:47,69,,,,,,,,,
,00:03:48,68,,,,,,,,,
,00:03:49,68,,,,,,,,,
,00:03:50,69,,,,,,,,,
,00:03:51,70,,,,,,,,,
,00:03:52,70,,,,,,,,,
,00:03:53,70,,,,,,,,,
,00:03:54,70,,,,,,,,,
,00:03:55,70,,,,,,,,,
,00:03:56,70,,,,,,,,,
,00:03:57,71,,,,,,,,,
,00:03:58,70,,,,,,,,,
,00:03:59,69,,,,,,,,,
,00:04:00,69,,,,,,,,,
,00:04:01,69,,,,,,,,,
,00:04:02,69,,,,,,,,,
,00:04:03,69,,,,,,,,,
,00:04:04,69,,,,,,,,,
,00:04:05,69,,,,,,,,,
,00:04:06,69,,,,,,,,,
,00:04:07,69,,,,,,,,,
,00:04:08,69,,,,,,,,,
,00:04:09,69,,,,,,,,,
,00:04:10,69,,,,,,,,,
,00:04:11,68,,,,,,,,,
,00:04:12,68,,,,,,,,,
,00:04:13,68,,,,,,,,,
,00:04:14,70,,,,,,,,,
,00:04:15,70,,,,,,,,,
,00:04:16,70,,,,,,,,,
,00:04:17,70,,,,,,,,,
,00:04:18,70,,,,,,,,,
,00:04:19,69,,,,,,,,,
,00:04:20,69,,,,,,,,,
,00:04:21,70,,,,,,,,,
,00:04:22,70,,,,,,,,,
,00:04:23,69,,,,,,,,,
,00:04:24,68,,,,,,,,,
,00:04:25,68,,,,,,,,,
,00:04:26,67,,,,,,,,,
,00:04:27,67,,,,,,,,,
,00:04:28,68,,,,,,,,,
,00:04:29,68,,,,,,,,,
,00:04:30,69,,,,,,,,,
,00:04:31,69,,,,,,,,,
,00:04:32,69,,,,,,,,,
,00:04:33,70,,,,,,,,,
,00:04:34,69,,,,,,,,,
,00:04:35,68,,,,,,,,,
,00:04:36,69,,,,,,,,,
,00:04:37,70,,,,,,,,,
,00:04:38,71,,,,,,,,,
,00:04:39,72,,,,,,,,,
,00:04:40,72,,,,,,,,,
,00:04:41,71,,,,,,,,,
,00:04:42,70,,,,,,,,,
,00:04:43,69,,,,,,,,,
,00:04:44,67,,,,,,,,,
,00:04:45,66,,,,,,,,,
,00:04:46,65,,,,,,,,,
,00:04:47,65,,,,,,,,,
,00:04:48,64,,,,,,,,,
,00:04:49,64,,,,,,,,,
,00:04:50,64,,,,,,,,,
,00:04:51,64,,,,,,,,,
,00:04:52,64,,,,,,,,,
,00:04:53,64,,,,,,,,,
,00:04:54,64,,,,,,,,,
,00:04:55,65,,,,,,,,,
,00:04:56,66,,,,,,,,,
,00:04:57,66,,,,,,,,,
,00:04:58,67,,,,,,,,,
,00:04:59,69,,,,,,,,,
,00:05:00,72,,,,,,,,,
,00:05:01,73,,,,,,,,,
,00:05:02,73,,,,,,,,,
,00:05:03,72,,,,,,,,,
,00:05:04,72,,,,,,,,,
,00:05:05,72,,,,,,,,,
,00:05:06,72,,,,,,,,,
,00:05:07,73,,,,,,,,,
,00:05:08,74,,,,,,,,,
,00:05:09,75,,,,,,,,,
,00:05:10,75,,,,,,,,,
,00:05:11,75,,,,,,,,,
,00:05:12,75,,,,,,,,,
,00:05:13,75,,,,,,,,,
,00:05:14,75,,,,,,,,,
,00:05:15,75,,,,,,,,,
,00:05:16,76,,,,,,,,,
,00:05:17,76,,,,,,,,,
,00:05:18,76,,,,,,,,,
,00:05:19,75,,,,,,,,,
,00:05:20,75,,,,,,,,,
,00:05:21,75,,,,,,,,,
,00:05:22,74,,,,,,,,,
,00:05:23,73,,,,,,,,,
,00:05:24,74,,,,,,,,,
,00:05:25,74,,,,,,,,,
,00:05:26,75,,,,,,,,,
,00:05:27,75,,,,,,,,,
,00:05:28,76,,,,,,,,,
,00:05:29,75,,,,,,,,,
,00:05:30,74,,,,,,,,,
,00:05:31,74,,,,,,,,,
,00:05:32,74,,,,,,,,,
,00:05:33,74,,,,,,,,,
,00:05:34,74,,,,,,,,,
,00:05:35,74,,,,,,,,,
,00:05:36,73,,,,,,,,,
,00:05:37,73,,,,,,,,,
,00:05:38,72,,,,,,,,,
,00:05:39,71,,,,,,,,,
,00:05:40,71,,,,,,,,,
,00:05:41,70,,,,,,,,,
,00:05:42,70,,,,,,,,,
,00:05:43,69,,,,,,,,,
,00:05:44,69,,,,,,,,,
,00:05:45,69,,,,,,,,,
,00:05:46,69,,,,,,,,,
,00:05:47,68,,,,,,,,,
,00:05:48,67,,,,,,,,,
,00:05:49,67,,,,,,,,,
,00:05:50,67,,,,,,,,,
,00:05:51,66,,,,,,,,,
,00:05:52,65,,,,,,,,,
,00:05:53,65,,,,,,,,,
,00:05:54,65,,,,,,,,,
,00:05:55,64,,,,,,,,,
,00:05:56,64,,,,,,,,,
,00:05:57,63,,,,,,,,,
,00:05:58,63,,,,,,,,,
,00:05:59,63,,,,,,,,,
,00:06:00,63,,,,,,,,,
,00:06:01,63,,,,,,,,,
,00:06:02,63,,,,,,,,,
,00:06:03,63,,,,,,,,,
,00:06:04,63,,,,,,,,,
,00:06:05,64,,,,,,,,,
,00:06:06,64,,,,,,,,,
,00:06:07,64,,,,,,,,,
,00:06:08,63,,,,,,,,,
,00:06:09,63,,,,,,,,,
,00:06:10,63,,,,,,,,,
