Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Forschung Fernuni,RUNNING,27-09-2022,13:29:10,01:12:57,2.33,112,1.9,12.3,31:16,04:52,486,31,,,,,,,,,,175.0,65.0,,,56,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,85,,,,,,,,,
,00:00:01,86,0.0,00:00,,,,0.00,,,
,00:00:02,87,0.0,00:00,,,,0.00,,,
,00:00:03,85,0.0,00:00,,,,0.00,,,
,00:00:04,84,0.0,00:00,,,,0.00,,,
,00:00:05,84,0.6,104:55,,,,1.08,,,
,00:00:06,82,0.6,104:55,,,,1.08,,,
,00:00:07,82,0.6,104:55,,,,1.08,,,
,00:00:08,82,0.6,104:55,,,,1.08,,,
,00:00:09,82,1.1,54:37,,,,2.09,,,
,00:00:10,81,1.1,54:37,,,,2.09,,,
,00:00:11,81,1.1,54:37,,,,2.09,,,
,00:00:12,79,1.1,54:37,,,,2.09,,,
,00:00:13,79,1.1,54:37,,,,2.09,,,
,00:00:14,79,1.1,54:37,,,,2.09,,,
,00:00:15,79,1.1,54:37,,,,2.09,,,
,00:00:16,80,1.1,54:37,,,,2.09,,,
,00:00:17,80,1.1,54:37,,,,2.09,,,
,00:00:18,81,1.1,54:37,,,,2.09,,,
,00:00:19,80,0.5,113:54,,,,2.09,,,
,00:00:20,80,1.9,31:36,,,,3.19,,,
,00:00:21,80,4.2,14:23,,,,4.35,,,
,00:00:22,79,6.4,09:25,,,,5.69,,,
,00:00:23,78,6.4,09:25,,,,5.69,,,
,00:00:24,77,5.2,11:29,,,,6.90,,,
,00:00:25,76,5.2,11:29,,,,6.90,,,
,00:00:26,76,3.4,17:30,,,,8.13,,,
,00:00:27,76,3.4,17:30,,,,8.13,,,
,00:00:28,76,3.4,17:30,,,,8.13,,,
,00:00:29,75,3.4,17:30,,,,8.13,,,
,00:00:30,76,2.9,20:47,,,,9.71,,,
,00:00:31,76,4.1,14:30,,,,12.88,,,
,00:00:32,76,5.8,10:21,,,,14.68,,,
,00:00:33,75,6.2,09:38,,,,16.07,,,
,00:00:34,75,6.2,09:38,,,,16.07,,,
,00:00:35,75,5.9,10:11,,,,17.59,,,
,00:00:36,75,5.9,10:11,,,,17.59,,,
,00:00:37,75,5.9,10:11,,,,17.59,,,
,00:00:38,74,5.9,10:11,,,,17.59,,,
,00:00:39,74,5.2,11:26,,,,18.75,,,
,00:00:40,75,5.2,11:28,,,,20.05,,,
,00:00:41,74,5.5,10:50,,,,21.62,,,
,00:00:42,74,5.9,10:13,,,,22.78,,,
,00:00:43,74,5.9,10:13,,,,22.78,,,
,00:00:44,74,4.8,12:24,,,,23.90,,,
,00:00:45,74,4.8,12:24,,,,23.90,,,
,00:00:46,74,3.2,19:01,,,,25.07,,,
,00:00:47,74,3.2,19:01,,,,25.07,,,
,00:00:48,75,3.2,19:01,,,,25.07,,,
,00:00:49,75,1.8,33:08,,,,26.07,,,
,00:00:50,75,1.8,33:08,,,,26.07,,,
,00:00:51,75,1.1,57:08,,,,27.20,,,
,00:00:52,74,1.4,44:11,,,,28.22,,,
,00:00:53,75,1.4,44:11,,,,28.22,,,
,00:00:54,75,2.6,22:42,,,,29.32,,,
,00:00:55,76,2.6,22:42,,,,29.32,,,
,00:00:56,77,4.1,14:37,,,,30.76,,,
,00:00:57,78,5.0,12:00,,,,31.89,,,
,00:00:58,79,5.0,12:00,,,,31.89,,,
,00:00:59,79,4.9,12:18,,,,33.17,,,
,00:01:00,79,4.9,12:18,,,,33.17,,,
,00:01:01,79,4.7,12:51,,,,34.29,,,
,00:01:02,79,4.9,12:11,,,,35.48,,,
,00:01:03,78,4.9,12:11,,,,35.48,,,
,00:01:04,78,5.0,12:01,,,,36.87,,,
,00:01:05,78,5.0,12:01,,,,36.87,,,
,00:01:06,78,5.2,11:34,,,,38.10,,,
,00:01:07,78,5.2,11:34,,,,38.10,,,
